Illumina_Trusight_one_clinical_exome	SureSelect_Focussed_exome_RDE	Sure_select_all_exon_v5	Sure_select_all_exon_v6
A2M	A2M	A1BG	A1BG
A4GALT	A2M-AS1	A1BG-AS1	A1BG-AS1
A4GNT	A2ML1	A1CF	A1CF
AAAS	A4GALT	A2M	A2M
AADAC	A4GNT	A2M-AS1	A2M-AS1
AADACL2	AAAS	A2ML1	A2ML1
AANAT	AADAC	A3GALT2	A3GALT2
AARS	AADACL2	A4GALT	A4GALT
AARS2	AAGAB	A4GNT	A4GNT
AASS	AANAT	AAAS	AAAS
ABAT	AARS	AACS	AACS
ABCA1	AARS2	AADAC	AADAC
ABCA10	AASS	AADACL2	AADACL2
ABCA12	ABAT	AADACL3	AADACL3
ABCA13	ABCA1	AADACL4	AADACL4
ABCA2	ABCA10	AADAT	AADAT
ABCA3	ABCA12	AAED1	AAED1
ABCA4	ABCA13	AAGAB	AAGAB
ABCA7	ABCA2	AAK1	AAK1
ABCB1	ABCA3	AAMDC	AAMDC
ABCB11	ABCA4	AAMP	AAMP
ABCB4	ABCA7	AANAT	AANAT
ABCB6	ABCB1	AAR2	AAR2
ABCB7	ABCB11	AARD	AARD
ABCC1	ABCB4	AARS	AARS
ABCC11	ABCB5	AARS2	AARS2
ABCC2	ABCB6	AARSD1	AARSD1
ABCC3	ABCB7	AASDH	AASDH
ABCC4	ABCB8	AASDHPPT	AASDHPPT
ABCC6	ABCC1	AASS	AASS
ABCC8	ABCC10	AATF	AATF
ABCC9	ABCC11	AATK	AATK
ABCD1	ABCC12	AATK-AS1	AATK-AS1
ABCD3	ABCC2	ABAT	ABAT
ABCD4	ABCC3	ABCA1	ABCA1
ABCG1	ABCC4	ABCA10	ABCA10
ABCG2	ABCC5	ABCA11P	ABCA11P
ABCG5	ABCC6	ABCA12	ABCA12
ABCG8	ABCC8	ABCA13	ABCA13
ABHD12	ABCC9	ABCA2	ABCA2
ABHD5	ABCD1	ABCA3	ABCA3
